SampleID	Entamoeba	E_histolytica	E_vermicularis	Ostertagia_ostertagi	Trichuris_trichiura	B_ST1	B_ST2	B_ST3	B_ST8	Blastocystis	V4	V9	Blasto	Genus	Species	Genus_species	Diet	Country	Habitat2	Phyl_Group	BodyMass.Value	Activity_Time	Foraging_Strata.Value	Age_at_FirstBirth_d	GestationLength_d	HomeRange_km2	LitterSize	LittersPerYear	PopulationDensity_n.km2	PopulationGrpSize	SocialGrpSize	WeaningAge_d
LagEllis1	N	N	P	N	N	N	N	N	N	N	yes	yes	yes	Lagothrix	lagotricha	Lagothrix_lagotricha	Not	Ecuador	Rainforest	New_World	6299.99	Diurnal	arboreal	2766.7	223.99	2.82	1.01	NA	10.72	NA	33	312.66
PVPet	P	N	P	N	N	N	N	N	N	N	yes	yes	yes	Propithecus	verreauxi	Propithecus_verreauxi	Folivore	Madagascar	Rainforest	Lemur	3480	Diurnal	arboreal	1668.05	149.77	0.03	1.02	1	150	7.5	6.3	177.83
RT2019	P	P	N	N	P	N	N	N	N	N	yes	yes	yes	Cercopithecus	ascanius	Cercopithecus_ascanius	Not	Uganda	Rainforest	Old_World	3550	Diurnal	arboreal	1825	148.5	0.16	1.01	NA	105.79	34	26.3	146.54
BWC2063	P	N	N	N	P	N	N	N	N	N	yes	yes	yes	Colobus	guereza	Colobus_guereza	Folivore	Uganda	Rainforest	Old_World	10600	Diurnal	arboreal	1916.25	169.02	0.17	1	NA	99.2	7	7.6	387.79
RC2036	P	N	N	N	P	N	N	N	N	N	yes	yes	yes	Procolobus	badius	Procolobus_badius	Folivore	Uganda	Rainforest	Old_World	8430.4	Diurnal	arboreal	1489.2	151.41	0.42	1	0.5	130.65	33.6	34	783.93
RC2068	P	N	N	N	P	N	N	N	N	N	yes	yes	yes	Procolobus	badius	Procolobus_badius	Folivore	Uganda	Rainforest	Old_World	8430.4	Diurnal	arboreal	1489.2	151.41	0.42	1	0.5	130.65	33.6	34	783.93
JB1	P	P	N	P	N	P	P	P	N	P	yes	yes	yes	Papio	hamadryas	Papio_hamadryas	Not	Ethiopia	Savannah	Old_World	21250.05	Diurnal	ground_level	1919.9	180	17.37	1.01	NA	2.1	54	36.9	NA
JB13	P	N	N	P	N	P	P	P	N	P	yes	yes	yes	Papio	hamadryas	Papio_hamadryas	Not	Ethiopia	Savannah	Old_World	21250.05	Diurnal	ground_level	1919.9	180	17.37	1.01	NA	2.1	54	36.9	NA
JB12	P	P	N	N	N	P	P	P	N	P	yes	yes	yes	Papio	anubis	Papio_anubis	Not	Ethiopia	Savannah	Old_World	17728.56	Diurnal	ground_level	1642.5	178.96	4.83	1.01	NA	10.8	44.5	40	NA
JB25	P	N	N	N	N	P	P	P	N	P	yes	yes	yes	Papio	anubis	Papio_anubis	Not	Ethiopia	Savannah	Old_World	17728.56	Diurnal	ground_level	1642.5	178.96	4.83	1.01	NA	10.8	44.5	40	NA
JB24	P	N	N	N	N	N	P	P	N	P	yes	yes	yes	Papio	anubis	Papio_anubis	Not	Ethiopia	Savannah	Old_World	17728.56	Diurnal	ground_level	1642.5	178.96	4.83	1.01	NA	10.8	44.5	40	NA
JB28	P	P	N	P	N	P	N	P	N	P	yes	yes	yes	Papio	anubis	Papio_anubis	Not	Ethiopia	Savannah	Old_World	17728.56	Diurnal	ground_level	1642.5	178.96	4.83	1.01	NA	10.8	44.5	40	NA
JB15	P	P	P	P	N	P	N	P	N	P	yes	yes	yes	Papio	hamadryas	Papio_hamadryas	Not	Ethiopia	Savannah	Old_World	21250.05	Diurnal	ground_level	1919.9	180	17.37	1.01	NA	2.1	54	36.9	NA
JB32	P	P	P	P	N	P	N	P	N	P	yes	yes	yes	Theropithecus	gelada	Theropithecus_gelada	Folivore	Ethiopia	Savannah	Old_World	17049.83	Diurnal	ground_level	1505.62	178.64	1.16	1.01	NA	51.42	112	10	NA
JB10	P	N	N	N	N	P	N	P	N	P	yes	yes	yes	Papio	anubis	Papio_anubis	Not	Ethiopia	Savannah	Old_World	17728.56	Diurnal	ground_level	1642.5	178.96	4.83	1.01	NA	10.8	44.5	40	NA
JB18	P	P	P	N	N	P	N	P	N	P	yes	yes	yes	Papio	hamadryas	Papio_hamadryas	Not	Ethiopia	Savannah	Old_World	21250.05	Diurnal	ground_level	1919.9	180	17.37	1.01	NA	2.1	54	36.9	NA
JB3	P	N	N	P	N	N	N	P	N	P	yes	yes	yes	Theropithecus	gelada	Theropithecus_gelada	Folivore	Ethiopia	Savannah	Old_World	17049.83	Diurnal	ground_level	1505.62	178.64	1.16	1.01	NA	51.42	112	10	NA
JB17	P	P	N	N	N	N	N	P	N	P	yes	yes	yes	Papio	hamadryas	Papio_hamadryas	Not	Ethiopia	Savannah	Old_World	21250.05	Diurnal	ground_level	1919.9	180	17.37	1.01	NA	2.1	54	36.9	NA
RT2048	P	P	N	N	N	N	N	P	N	P	yes	yes	yes	Cercopithecus	ascanius	Cercopithecus_ascanius	Not	Uganda	Rainforest	Old_World	3550	Diurnal	arboreal	1825	148.5	0.16	1.01	NA	105.79	34	26.3	146.54
JB34	P	N	N	N	N	N	N	P	N	P	yes	yes	yes	Theropithecus	gelada	Theropithecus_gelada	Folivore	Ethiopia	Savannah	Old_World	17049.83	Diurnal	ground_level	1505.62	178.64	1.16	1.01	NA	51.42	112	10	NA
RT2021	P	P	N	N	P	N	N	P	N	P	yes	yes	yes	Cercopithecus	ascanius	Cercopithecus_ascanius	Not	Uganda	Rainforest	Old_World	3550	Diurnal	arboreal	1825	148.5	0.16	1.01	NA	105.79	34	26.3	146.54
APF37	P	N	N	N	N	P	N	N	N	P	yes	yes	yes	Alouatta	pigra	Alouatta_pigra	Folivore	Mexico	Rainforest	New_World	7000.03	Diurnal	arboreal	NA	185.92	0.3	1.01	NA	8.53	NA	5.5	NA
PTr14	P	N	N	N	N	P	N	N	N	P	yes	yes	yes	Pan	troglodytes	Pan_troglodytes	Not	Uganda	Rainforest	Ape	42500	Diurnal	scansorial	5073.5	231.49	10.85	1.05	NA	1.63	45	50	1260.81
Ptr1	P	N	N	N	N	N	N	N	N	P	yes	yes	yes	Pan	troglodytes	Pan_troglodytes	Not	Uganda	Rainforest	Ape	42500	Diurnal	scansorial	5073.5	231.49	10.85	1.05	NA	1.63	45	50	1260.81
APF39	N	N	P	N	N	N	N	N	P	P	yes	yes	yes	Alouatta	pigra	Alouatta_pigra	Folivore	Mexico	Rainforest	New_World	7000.03	Diurnal	arboreal	NA	185.92	0.3	1.01	NA	8.53	NA	5.5	NA
